ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
1,56,Non-Binary,Widowed,Developer,5,102703.08,44,1.72,True,0,None,Small,Marketing,5.6,1.9,False,1,0,15,9,2,5,10,38,False,True,True,No,Tier-3
2,46,Female,Single,Analyst,20,165583.91,54,0.62,True,7,None,Large,IT,9.0,3.5,True,7,10,12,9,1,10,9,72,True,True,True,No,Tier-3
3,32,Female,Single,Developer,10,38005.39,81,1.22,False,7,Physical,Medium,HR,7.9,8.4,False,2,7,13,6,1,1,1,67,False,False,False,Yes,Metro
4,60,Female,Divorced,Analyst,26,51127.36,79,2.03,False,6,Mental,Small,IT,4.1,6.4,True,6,2,15,8,10,5,10,98,True,True,False,Yes,Metro
5,25,Male,Married,Sales,29,174597.45,63,1.45,True,8,Both,Large,Sales,4.0,9.2,True,9,10,11,3,1,9,2,85,True,False,False,No,Tier-1
6,38,Non-Binary,Single,Manager,13,37595.9,45,0.48,True,2,Both,Large,HR,5.7,9.5,True,5,8,30,6,0,7,2,22,True,True,True,No,Tier-2
7,56,Non-Binary,Single,HR,17,46786.46,44,0.23,False,4,Mental,Medium,Marketing,8.2,9.4,True,10,3,16,9,4,2,10,39,False,True,False,Yes,Tier-3
8,36,Female,Divorced,Sales,5,49639.66,46,2.3,False,6,Mental,Small,Admin,8.5,1.5,False,1,8,4,4,2,5,4,44,False,False,True,Occasional,Tier-3
9,40,Non-Binary,Divorced,Manager,40,156978.32,66,0.3,False,1,Physical,Small,Finance,8.2,9.6,True,3,7,13,6,5,5,1,46,False,True,True,Yes,Tier-3
10,28,Male,Divorced,Support,31,85163.2,56,1.91,True,9,Physical,Medium,Admin,5.2,7.6,True,10,9,2,10,9,0,9,48,True,True,False,Yes,Tier-3
11,28,Female,Widowed,Sales,32,117789.06,75,0.82,False,3,None,Small,IT,4.6,6.0,False,8,1,2,6,6,2,7,3,False,True,False,Yes,Tier-2
12,41,Male,Divorced,Manager,11,72373.38,67,0.07,False,9,Mental,Large,Admin,6.0,2.8,True,7,9,13,8,3,9,2,1,False,True,True,Yes,Tier-3
13,53,Female,Divorced,Analyst,3,130305.44,37,0.13,True,9,Both,Small,Marketing,8.0,7.2,False,8,6,1,9,1,7,4,92,False,False,True,Yes,Tier-3
